"DTI_CL_UNIDAD_MEDIDA","Unit of measurement","DTI_CL_MES","Month","DTI_CL_GRUPO_OCU_IR","Occupational group","Value","Flag Codes","Flags"
"12_M_VAR","12-month variation in percentages (%)","2019-M01","2019 January","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",6.3,,
"12_M_VAR","12-month variation in percentages (%)","2019-M01","2019 January","ISCO88_8","Operadores de instalaciones y máquinas y montadores",2.6,,
"12_M_VAR","12-month variation in percentages (%)","2019-M01","2019 January","ISCO88_9","Trabajadores no calificados",5.6,,
"IX","Index","2019-M02","2019 February","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",117.27,,
"IX","Index","2019-M02","2019 February","ISCO88_2","Profesionales científicos e intelectuales",111.67,,
"IX","Index","2019-M02","2019 February","ISCO88_3","Técnicos y profesionales de nivel medio",112.46,,
"IX","Index","2019-M02","2019 February","ISCO88_4","Empleados de oficina",114.67,,
"IX","Index","2019-M02","2019 February","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",107.68,,
"IX","Index","2019-M02","2019 February","ISCO88_5_B","Vendedores, promotores y modelos",117.56,,
"IX","Index","2019-M02","2019 February","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",117.14,,
"IX","Index","2019-M02","2019 February","ISCO88_8","Operadores de instalaciones y máquinas y montadores",111.65,,
"IX","Index","2019-M02","2019 February","ISCO88_9","Trabajadores no calificados",115.87,,
"12_M_VAR","12-month variation in percentages (%)","2019-M02","2019 February","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",4.4,,
"12_M_VAR","12-month variation in percentages (%)","2019-M02","2019 February","ISCO88_2","Profesionales científicos e intelectuales",3.5,,
"12_M_VAR","12-month variation in percentages (%)","2019-M02","2019 February","ISCO88_3","Técnicos y profesionales de nivel medio",3.7,,
"12_M_VAR","12-month variation in percentages (%)","2019-M02","2019 February","ISCO88_4","Empleados de oficina",5,,
"12_M_VAR","12-month variation in percentages (%)","2019-M02","2019 February","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",5,,
"12_M_VAR","12-month variation in percentages (%)","2019-M02","2019 February","ISCO88_5_B","Vendedores, promotores y modelos",3.4,,
"12_M_VAR","12-month variation in percentages (%)","2019-M02","2019 February","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",8.1,,
"12_M_VAR","12-month variation in percentages (%)","2019-M02","2019 February","ISCO88_8","Operadores de instalaciones y máquinas y montadores",3.2,,
"12_M_VAR","12-month variation in percentages (%)","2019-M02","2019 February","ISCO88_9","Trabajadores no calificados",5.5,,
"IX","Index","2019-M03","2019 March","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",118.52,,
"IX","Index","2019-M03","2019 March","ISCO88_2","Profesionales científicos e intelectuales",112.14,,
"IX","Index","2019-M03","2019 March","ISCO88_3","Técnicos y profesionales de nivel medio",113.79,,
"IX","Index","2019-M03","2019 March","ISCO88_4","Empleados de oficina",115.93,,
"IX","Index","2019-M03","2019 March","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",109.32,,
"IX","Index","2019-M03","2019 March","ISCO88_5_B","Vendedores, promotores y modelos",118.57,,
"IX","Index","2019-M03","2019 March","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",117.68,,
"IX","Index","2019-M03","2019 March","ISCO88_8","Operadores de instalaciones y máquinas y montadores",113.84,,
"IX","Index","2019-M03","2019 March","ISCO88_9","Trabajadores no calificados",117.18,,
"12_M_VAR","12-month variation in percentages (%)","2019-M03","2019 March","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",5.3,,
"12_M_VAR","12-month variation in percentages (%)","2019-M03","2019 March","ISCO88_2","Profesionales científicos e intelectuales",3.7,,
"12_M_VAR","12-month variation in percentages (%)","2019-M03","2019 March","ISCO88_3","Técnicos y profesionales de nivel medio",4.7,,
"12_M_VAR","12-month variation in percentages (%)","2019-M03","2019 March","ISCO88_4","Empleados de oficina",5.4,,
"12_M_VAR","12-month variation in percentages (%)","2019-M03","2019 March","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",-0.2,,
"12_M_VAR","12-month variation in percentages (%)","2019-M03","2019 March","ISCO88_5_B","Vendedores, promotores y modelos",2.6,,
"12_M_VAR","12-month variation in percentages (%)","2019-M03","2019 March","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",7.5,,
"12_M_VAR","12-month variation in percentages (%)","2019-M03","2019 March","ISCO88_8","Operadores de instalaciones y máquinas y montadores",6.3,,
"12_M_VAR","12-month variation in percentages (%)","2019-M03","2019 March","ISCO88_9","Trabajadores no calificados",5.4,,
"IX","Index","2019-M04","2019 April","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",118.85,,
"IX","Index","2019-M04","2019 April","ISCO88_2","Profesionales científicos e intelectuales",112.51,,
"IX","Index","2019-M04","2019 April","ISCO88_3","Técnicos y profesionales de nivel medio",115.14,,
"IX","Index","2019-M04","2019 April","ISCO88_4","Empleados de oficina",116.15,,
"IX","Index","2019-M04","2019 April","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",109.25,,
"IX","Index","2019-M04","2019 April","ISCO88_5_B","Vendedores, promotores y modelos",124.16,,
"IX","Index","2019-M04","2019 April","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",118.83,,
"IX","Index","2019-M04","2019 April","ISCO88_8","Operadores de instalaciones y máquinas y montadores",113.98,,
"IX","Index","2019-M04","2019 April","ISCO88_9","Trabajadores no calificados",117.87,,
"12_M_VAR","12-month variation in percentages (%)","2019-M04","2019 April","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",5.3,,
"12_M_VAR","12-month variation in percentages (%)","2019-M04","2019 April","ISCO88_2","Profesionales científicos e intelectuales",3.9,,
"12_M_VAR","12-month variation in percentages (%)","2019-M04","2019 April","ISCO88_3","Técnicos y profesionales de nivel medio",4.9,,
"12_M_VAR","12-month variation in percentages (%)","2019-M04","2019 April","ISCO88_4","Empleados de oficina",5.3,,
"12_M_VAR","12-month variation in percentages (%)","2019-M04","2019 April","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",5.5,,
"12_M_VAR","12-month variation in percentages (%)","2019-M04","2019 April","ISCO88_5_B","Vendedores, promotores y modelos",7.6,,
"12_M_VAR","12-month variation in percentages (%)","2019-M04","2019 April","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",8,,
"12_M_VAR","12-month variation in percentages (%)","2019-M04","2019 April","ISCO88_8","Operadores de instalaciones y máquinas y montadores",4.8,,
"12_M_VAR","12-month variation in percentages (%)","2019-M04","2019 April","ISCO88_9","Trabajadores no calificados",5.8,,
"IX","Index","2019-M05","2019 May","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",118.61,,
"IX","Index","2019-M05","2019 May","ISCO88_2","Profesionales científicos e intelectuales",112.51,,
"IX","Index","2019-M05","2019 May","ISCO88_3","Técnicos y profesionales de nivel medio",114.31,,
"IX","Index","2019-M05","2019 May","ISCO88_4","Empleados de oficina",115.89,,
"IX","Index","2019-M05","2019 May","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",111.24,,
"IX","Index","2019-M05","2019 May","ISCO88_5_B","Vendedores, promotores y modelos",121.57,,
"IX","Index","2019-M05","2019 May","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",119.81,,
"IX","Index","2019-M05","2019 May","ISCO88_8","Operadores de instalaciones y máquinas y montadores",114.61,,
"IX","Index","2019-M05","2019 May","ISCO88_9","Trabajadores no calificados",117.84,,
"12_M_VAR","12-month variation in percentages (%)","2019-M05","2019 May","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",5.4,,
"12_M_VAR","12-month variation in percentages (%)","2019-M05","2019 May","ISCO88_2","Profesionales científicos e intelectuales",4,,
"12_M_VAR","12-month variation in percentages (%)","2019-M05","2019 May","ISCO88_3","Técnicos y profesionales de nivel medio",4.9,,
"12_M_VAR","12-month variation in percentages (%)","2019-M05","2019 May","ISCO88_4","Empleados de oficina",4.8,,
"12_M_VAR","12-month variation in percentages (%)","2019-M05","2019 May","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",8.1,,
"12_M_VAR","12-month variation in percentages (%)","2019-M05","2019 May","ISCO88_5_B","Vendedores, promotores y modelos",5.4,,
"12_M_VAR","12-month variation in percentages (%)","2019-M05","2019 May","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",8.6,,
"12_M_VAR","12-month variation in percentages (%)","2019-M05","2019 May","ISCO88_8","Operadores de instalaciones y máquinas y montadores",5.3,,
"12_M_VAR","12-month variation in percentages (%)","2019-M05","2019 May","ISCO88_9","Trabajadores no calificados",5.7,,
"IX","Index","2019-M06","2019 June","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",119.16,,
"IX","Index","2019-M06","2019 June","ISCO88_2","Profesionales científicos e intelectuales",112.64,,
"IX","Index","2019-M06","2019 June","ISCO88_3","Técnicos y profesionales de nivel medio",114.32,,
"IX","Index","2019-M06","2019 June","ISCO88_4","Empleados de oficina",116.31,,
"IX","Index","2019-M06","2019 June","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",110.62,,
"IX","Index","2019-M06","2019 June","ISCO88_5_B","Vendedores, promotores y modelos",121.23,,
"IX","Index","2019-M06","2019 June","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",118.7,,
"IX","Index","2019-M06","2019 June","ISCO88_8","Operadores de instalaciones y máquinas y montadores",113.12,,
"IX","Index","2019-M06","2019 June","ISCO88_9","Trabajadores no calificados",116.86,,
"12_M_VAR","12-month variation in percentages (%)","2019-M06","2019 June","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",4.9,,
"12_M_VAR","12-month variation in percentages (%)","2019-M06","2019 June","ISCO88_2","Profesionales científicos e intelectuales",3.8,,
"12_M_VAR","12-month variation in percentages (%)","2019-M06","2019 June","ISCO88_3","Técnicos y profesionales de nivel medio",4.9,,
"12_M_VAR","12-month variation in percentages (%)","2019-M06","2019 June","ISCO88_4","Empleados de oficina",5.3,,
"12_M_VAR","12-month variation in percentages (%)","2019-M06","2019 June","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",6.4,,
"12_M_VAR","12-month variation in percentages (%)","2019-M06","2019 June","ISCO88_5_B","Vendedores, promotores y modelos",6.2,,
"12_M_VAR","12-month variation in percentages (%)","2019-M06","2019 June","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",7.3,,
"12_M_VAR","12-month variation in percentages (%)","2019-M06","2019 June","ISCO88_8","Operadores de instalaciones y máquinas y montadores",5.3,,
"12_M_VAR","12-month variation in percentages (%)","2019-M06","2019 June","ISCO88_9","Trabajadores no calificados",4.4,,
"IX","Index","2019-M07","2019 July","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",120.87,,
"IX","Index","2019-M07","2019 July","ISCO88_2","Profesionales científicos e intelectuales",113.1,,
"IX","Index","2019-M07","2019 July","ISCO88_3","Técnicos y profesionales de nivel medio",114.73,,
"IX","Index","2019-M07","2019 July","ISCO88_4","Empleados de oficina",116.43,,
"IX","Index","2019-M07","2019 July","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",111.15,,
"IX","Index","2019-M07","2019 July","ISCO88_5_B","Vendedores, promotores y modelos",121,,
"IX","Index","2019-M07","2019 July","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",119.63,,
"IX","Index","2019-M07","2019 July","ISCO88_8","Operadores de instalaciones y máquinas y montadores",114.75,,
"IX","Index","2019-M07","2019 July","ISCO88_9","Trabajadores no calificados",118.46,,
"12_M_VAR","12-month variation in percentages (%)","2019-M07","2019 July","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",6.2,,
"12_M_VAR","12-month variation in percentages (%)","2019-M07","2019 July","ISCO88_2","Profesionales científicos e intelectuales",3.7,,
"12_M_VAR","12-month variation in percentages (%)","2019-M07","2019 July","ISCO88_3","Técnicos y profesionales de nivel medio",5,,
"12_M_VAR","12-month variation in percentages (%)","2019-M07","2019 July","ISCO88_4","Empleados de oficina",5.1,,
"12_M_VAR","12-month variation in percentages (%)","2019-M07","2019 July","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",6.8,,
"12_M_VAR","12-month variation in percentages (%)","2019-M07","2019 July","ISCO88_5_B","Vendedores, promotores y modelos",6.7,,
"12_M_VAR","12-month variation in percentages (%)","2019-M07","2019 July","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",6.1,,
"12_M_VAR","12-month variation in percentages (%)","2019-M07","2019 July","ISCO88_8","Operadores de instalaciones y máquinas y montadores",6,,
"12_M_VAR","12-month variation in percentages (%)","2019-M07","2019 July","ISCO88_9","Trabajadores no calificados",5.2,,
"IX","Index","2019-M08","2019 August","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",120.66,,
"IX","Index","2019-M08","2019 August","ISCO88_2","Profesionales científicos e intelectuales",113.33,,
"IX","Index","2019-M08","2019 August","ISCO88_3","Técnicos y profesionales de nivel medio",115.47,,
"IX","Index","2019-M08","2019 August","ISCO88_4","Empleados de oficina",116.79,,
"IX","Index","2019-M08","2019 August","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",111.38,,
"IX","Index","2019-M08","2019 August","ISCO88_5_B","Vendedores, promotores y modelos",122.92,,
"IX","Index","2019-M08","2019 August","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",119.72,,
"IX","Index","2019-M08","2019 August","ISCO88_8","Operadores de instalaciones y máquinas y montadores",114.5,,
"IX","Index","2019-M08","2019 August","ISCO88_9","Trabajadores no calificados",118.33,,
"12_M_VAR","12-month variation in percentages (%)","2019-M08","2019 August","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",5,,
"12_M_VAR","12-month variation in percentages (%)","2019-M08","2019 August","ISCO88_2","Profesionales científicos e intelectuales",4.6,,
"12_M_VAR","12-month variation in percentages (%)","2019-M08","2019 August","ISCO88_3","Técnicos y profesionales de nivel medio",5.7,,
"12_M_VAR","12-month variation in percentages (%)","2019-M08","2019 August","ISCO88_4","Empleados de oficina",5.2,,
"12_M_VAR","12-month variation in percentages (%)","2019-M08","2019 August","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",5.9,,
"12_M_VAR","12-month variation in percentages (%)","2019-M08","2019 August","ISCO88_5_B","Vendedores, promotores y modelos",7,,
"12_M_VAR","12-month variation in percentages (%)","2019-M08","2019 August","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",6.3,,
"12_M_VAR","12-month variation in percentages (%)","2019-M08","2019 August","ISCO88_8","Operadores de instalaciones y máquinas y montadores",5.1,,
"12_M_VAR","12-month variation in percentages (%)","2019-M08","2019 August","ISCO88_9","Trabajadores no calificados",5.1,,
"IX","Index","2019-M09","2019 September","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",120.41,,
"12_M_VAR","12-month variation in percentages (%)","2019-M09","2019 September","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",4.6,,
"IX","Index","2019-M09","2019 September","ISCO88_2","Profesionales científicos e intelectuales",113.21,,
"12_M_VAR","12-month variation in percentages (%)","2019-M09","2019 September","ISCO88_2","Profesionales científicos e intelectuales",3.7,,
"IX","Index","2019-M09","2019 September","ISCO88_3","Técnicos y profesionales de nivel medio",115.18,,
"12_M_VAR","12-month variation in percentages (%)","2019-M09","2019 September","ISCO88_3","Técnicos y profesionales de nivel medio",4.3,,
"IX","Index","2019-M09","2019 September","ISCO88_4","Empleados de oficina",117.45,,
"12_M_VAR","12-month variation in percentages (%)","2019-M09","2019 September","ISCO88_4","Empleados de oficina",4.8,,
"IX","Index","2019-M09","2019 September","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",112.49,,
"12_M_VAR","12-month variation in percentages (%)","2019-M09","2019 September","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",5.5,,
"IX","Index","2019-M09","2019 September","ISCO88_5_B","Vendedores, promotores y modelos",123.85,,
"12_M_VAR","12-month variation in percentages (%)","2019-M09","2019 September","ISCO88_5_B","Vendedores, promotores y modelos",6.4,,
"IX","Index","2019-M09","2019 September","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",120.8,,
"12_M_VAR","12-month variation in percentages (%)","2019-M09","2019 September","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",5.6,,
"IX","Index","2019-M09","2019 September","ISCO88_8","Operadores de instalaciones y máquinas y montadores",116.04,,
"12_M_VAR","12-month variation in percentages (%)","2019-M09","2019 September","ISCO88_8","Operadores de instalaciones y máquinas y montadores",4.9,,
"IX","Index","2019-M09","2019 September","ISCO88_9","Trabajadores no calificados",118.77,,
"12_M_VAR","12-month variation in percentages (%)","2019-M09","2019 September","ISCO88_9","Trabajadores no calificados",3.4,,
"IX","Index","2019-M10","2019 October","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",120.95,,
"IX","Index","2019-M10","2019 October","ISCO88_2","Profesionales científicos e intelectuales",113.2,,
"IX","Index","2019-M10","2019 October","ISCO88_3","Técnicos y profesionales de nivel medio",115.09,,
"IX","Index","2019-M10","2019 October","ISCO88_4","Empleados de oficina",117.03,,
"IX","Index","2019-M10","2019 October","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",112.84,,
"IX","Index","2019-M10","2019 October","ISCO88_5_B","Vendedores, promotores y modelos",123.57,,
"IX","Index","2019-M10","2019 October","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",120.88,,
"IX","Index","2019-M10","2019 October","ISCO88_8","Operadores de instalaciones y máquinas y montadores",115.71,,
"IX","Index","2019-M10","2019 October","ISCO88_9","Trabajadores no calificados",118.86,,
"12_M_VAR","12-month variation in percentages (%)","2019-M10","2019 October","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",4.4,,
"12_M_VAR","12-month variation in percentages (%)","2019-M10","2019 October","ISCO88_2","Profesionales científicos e intelectuales",3.7,,
"12_M_VAR","12-month variation in percentages (%)","2019-M10","2019 October","ISCO88_3","Técnicos y profesionales de nivel medio",4.7,,
"12_M_VAR","12-month variation in percentages (%)","2019-M10","2019 October","ISCO88_4","Empleados de oficina",4.8,,
"12_M_VAR","12-month variation in percentages (%)","2019-M10","2019 October","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",6.4,,
"12_M_VAR","12-month variation in percentages (%)","2019-M10","2019 October","ISCO88_5_B","Vendedores, promotores y modelos",5.5,,
"12_M_VAR","12-month variation in percentages (%)","2019-M10","2019 October","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",5.8,,
"12_M_VAR","12-month variation in percentages (%)","2019-M10","2019 October","ISCO88_8","Operadores de instalaciones y máquinas y montadores",4.9,,
"12_M_VAR","12-month variation in percentages (%)","2019-M10","2019 October","ISCO88_9","Trabajadores no calificados",4,,
"IX","Index","2019-M11","2019 November","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",121.19,,
"IX","Index","2019-M11","2019 November","ISCO88_2","Profesionales científicos e intelectuales",113.56,,
"IX","Index","2019-M11","2019 November","ISCO88_3","Técnicos y profesionales de nivel medio",114.93,,
"IX","Index","2019-M11","2019 November","ISCO88_4","Empleados de oficina",117.25,,
"IX","Index","2019-M11","2019 November","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",114.36,,
"IX","Index","2019-M11","2019 November","ISCO88_5_B","Vendedores, promotores y modelos",125.51,,
"IX","Index","2019-M11","2019 November","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",120.49,,
"IX","Index","2019-M11","2019 November","ISCO88_8","Operadores de instalaciones y máquinas y montadores",116.39,,
"IX","Index","2019-M11","2019 November","ISCO88_9","Trabajadores no calificados",119.4,,
"12_M_VAR","12-month variation in percentages (%)","2019-M11","2019 November","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",4.3,,
"12_M_VAR","12-month variation in percentages (%)","2019-M11","2019 November","ISCO88_2","Profesionales científicos e intelectuales",3.7,,
"12_M_VAR","12-month variation in percentages (%)","2019-M11","2019 November","ISCO88_3","Técnicos y profesionales de nivel medio",3.9,,
"12_M_VAR","12-month variation in percentages (%)","2019-M11","2019 November","ISCO88_4","Empleados de oficina",4,,
"12_M_VAR","12-month variation in percentages (%)","2019-M11","2019 November","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",8.1,,
"12_M_VAR","12-month variation in percentages (%)","2019-M11","2019 November","ISCO88_5_B","Vendedores, promotores y modelos",6.6,,
"12_M_VAR","12-month variation in percentages (%)","2019-M11","2019 November","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",4.3,,
"12_M_VAR","12-month variation in percentages (%)","2019-M11","2019 November","ISCO88_8","Operadores de instalaciones y máquinas y montadores",4.4,,
"12_M_VAR","12-month variation in percentages (%)","2019-M11","2019 November","ISCO88_9","Trabajadores no calificados",4.1,,
"IX","Index","2019-M12","2019 December","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",122.56,,
"IX","Index","2019-M12","2019 December","ISCO88_2","Profesionales científicos e intelectuales",114.56,,
"IX","Index","2019-M12","2019 December","ISCO88_3","Técnicos y profesionales de nivel medio",116,,
"IX","Index","2019-M12","2019 December","ISCO88_4","Empleados de oficina",117.69,,
"IX","Index","2019-M12","2019 December","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",114.34,,
"IX","Index","2019-M12","2019 December","ISCO88_5_B","Vendedores, promotores y modelos",129.06,,
"IX","Index","2019-M12","2019 December","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",120.79,,
"IX","Index","2019-M12","2019 December","ISCO88_8","Operadores de instalaciones y máquinas y montadores",118.23,,
"IX","Index","2019-M12","2019 December","ISCO88_9","Trabajadores no calificados",120.48,,
"12_M_VAR","12-month variation in percentages (%)","2019-M12","2019 December","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",5,,
"12_M_VAR","12-month variation in percentages (%)","2019-M12","2019 December","ISCO88_2","Profesionales científicos e intelectuales",3.9,,
"12_M_VAR","12-month variation in percentages (%)","2019-M12","2019 December","ISCO88_3","Técnicos y profesionales de nivel medio",4.5,,
"12_M_VAR","12-month variation in percentages (%)","2019-M12","2019 December","ISCO88_4","Empleados de oficina",3.8,,
"12_M_VAR","12-month variation in percentages (%)","2019-M12","2019 December","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",6.4,,
"12_M_VAR","12-month variation in percentages (%)","2019-M12","2019 December","ISCO88_5_B","Vendedores, promotores y modelos",9.2,,
"12_M_VAR","12-month variation in percentages (%)","2019-M12","2019 December","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",4.2,,
"12_M_VAR","12-month variation in percentages (%)","2019-M12","2019 December","ISCO88_8","Operadores de instalaciones y máquinas y montadores",6.6,,
"12_M_VAR","12-month variation in percentages (%)","2019-M12","2019 December","ISCO88_9","Trabajadores no calificados",4.2,,
"IX","Index","2020-M01","2020 January","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",123.85,,
"IX","Index","2020-M01","2020 January","ISCO88_2","Profesionales científicos e intelectuales",115.24,,
"IX","Index","2020-M01","2020 January","ISCO88_3","Técnicos y profesionales de nivel medio",117.74,,
"IX","Index","2020-M01","2020 January","ISCO88_4","Empleados de oficina",119.04,,
"IX","Index","2020-M01","2020 January","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",114.95,,
"IX","Index","2020-M01","2020 January","ISCO88_5_B","Vendedores, promotores y modelos",131.52,,
"IX","Index","2020-M01","2020 January","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",120.55,,
"IX","Index","2020-M01","2020 January","ISCO88_8","Operadores de instalaciones y máquinas y montadores",118.72,,
"IX","Index","2020-M01","2020 January","ISCO88_9","Trabajadores no calificados",122.01,,
"12_M_VAR","12-month variation in percentages (%)","2020-M01","2020 January","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",4.7,,
"12_M_VAR","12-month variation in percentages (%)","2020-M01","2020 January","ISCO88_2","Profesionales científicos e intelectuales",3.7,,
"12_M_VAR","12-month variation in percentages (%)","2020-M01","2020 January","ISCO88_3","Técnicos y profesionales de nivel medio",5.3,,
"12_M_VAR","12-month variation in percentages (%)","2020-M01","2020 January","ISCO88_4","Empleados de oficina",4.1,,
"12_M_VAR","12-month variation in percentages (%)","2020-M01","2020 January","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",7.1,,
"12_M_VAR","12-month variation in percentages (%)","2020-M01","2020 January","ISCO88_5_B","Vendedores, promotores y modelos",9.3,,
"12_M_VAR","12-month variation in percentages (%)","2020-M01","2020 January","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",4.2,,
"12_M_VAR","12-month variation in percentages (%)","2020-M01","2020 January","ISCO88_8","Operadores de instalaciones y máquinas y montadores",5.8,,
"12_M_VAR","12-month variation in percentages (%)","2020-M01","2020 January","ISCO88_9","Trabajadores no calificados",5.6,,
"IX","Index","2020-M02","2020 February","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",123.73,,
"IX","Index","2020-M02","2020 February","ISCO88_2","Profesionales científicos e intelectuales",115.04,,
"IX","Index","2020-M02","2020 February","ISCO88_3","Técnicos y profesionales de nivel medio",117.61,,
"IX","Index","2020-M02","2020 February","ISCO88_4","Empleados de oficina",119.23,,
"IX","Index","2020-M02","2020 February","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",114.17,,
"IX","Index","2020-M02","2020 February","ISCO88_5_B","Vendedores, promotores y modelos",129.62,,
"IX","Index","2020-M02","2020 February","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",120.71,,
"IX","Index","2020-M02","2020 February","ISCO88_8","Operadores de instalaciones y máquinas y montadores",120.14,,
"IX","Index","2020-M02","2020 February","ISCO88_9","Trabajadores no calificados",121.16,,
"12_M_VAR","12-month variation in percentages (%)","2020-M02","2020 February","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",5.5,,
"12_M_VAR","12-month variation in percentages (%)","2020-M02","2020 February","ISCO88_2","Profesionales científicos e intelectuales",3,,
"12_M_VAR","12-month variation in percentages (%)","2020-M02","2020 February","ISCO88_3","Técnicos y profesionales de nivel medio",4.6,,
"12_M_VAR","12-month variation in percentages (%)","2020-M02","2020 February","ISCO88_4","Empleados de oficina",4,,
